tracker_id,vehicle_class,speed_mean,speed_max,speed_min,speed_std,acceleration_mean,acceleration_max,acceleration_min,acceleration_std,distance_mean,distance_min,direction_change_mean,direction_change_max,relative_speed_mean,relative_speed_max,relative_speed_min,frames_count
629,car,55.47,169,21,33.08,-0.46,8.0,-8.0,1.57,43.4,22.88,21.96,115.15,15.2,118.1,-20.81,237
632,car,28.6,33,17,4.1,0.95,7.0,-2.0,2.04,25.26,21.05,23.54,131.76,-17.02,-10.59,-32.47,20
634,car,65.98,155,26,35.45,0.58,5.0,-6.0,1.88,78.95,15.72,28.01,179.76,25.03,112.84,-19.9,180
637,car,27.39,53,6,9.21,0.27,14.0,-9.0,2.45,15.48,3.42,52.64,179.6,-13.42,13.71,-32.17,150
647,car,20.91,22,20,0.83,-0.09,2.0,-1.0,0.94,38.31,29.98,11.44,41.72,-21.74,-18.5,-25.25,11
649,car,20.65,36,5,8.86,0.09,9.0,-8.0,3.35,14.34,2.76,53.95,178.92,-19.93,-2.53,-40.23,82
651,car,14.83,26,5,6.94,1.41,8.0,-5.0,2.86,27.0,17.4,53.58,168.55,-28.22,-13.17,-38.05,41
657,car,11.75,20,5,4.99,0.81,7.0,-2.0,2.1,18.68,17.47,48.84,143.19,-31.48,-20.86,-40.3,16
659,car,60.24,115,31,23.99,-0.42,5.0,-3.0,1.16,107.61,28.16,16.06,91.48,21.23,71.95,-9.41,178
661,truck,18.17,45,5,7.08,0.5,19.0,-18.0,5.71,29.8,25.28,65.23,179.93,-24.34,4.14,-35.36,42
663,car,23.44,48,5,9.66,0.03,17.0,-16.0,2.95,21.62,15.84,39.41,176.07,-15.71,10.8,-39.09,154
665,car,24.19,50,5,11.24,0.06,10.0,-8.0,2.04,22.42,11.93,39.12,175.43,-14.74,14.0,-35.86,124
667,car,25.94,36,16,5.32,-0.19,3.0,-5.0,1.51,19.38,3.59,49.26,177.67,-12.69,-1.81,-28.0,96
674,car,11.35,29,5,5.94,-0.29,7.0,-8.0,3.31,7.62,3.47,79.32,175.43,-26.04,-11.32,-34.86,48
676,car,8.64,18,5,3.91,-0.09,7.0,-7.0,3.78,4.25,2.76,91.97,173.69,-29.08,-17.95,-34.29,11
677,car,23.08,27,17,3.87,0.67,7.0,-1.0,2.27,29.12,25.78,23.26,167.25,-14.78,-9.2,-26.0,12
681,car,71.95,109,45,19.47,-0.51,4.0,-3.0,1.05,161.81,64.16,9.01,35.18,33.64,71.62,4.19,114
682,car,22.5,26,15,3.23,-0.32,6.0,-2.0,1.84,24.06,19.28,35.46,127.96,-14.61,-10.2,-24.29,22
686,truck,15.54,45,7,8.07,-0.02,16.0,-15.0,3.11,33.08,6.94,58.15,179.32,-22.72,2.47,-36.3,104
691,car,71.74,124,47,19.02,0.04,3.0,-18.0,2.51,60.47,20.63,11.18,72.26,33.18,84.14,8.7,91
692,car,38.0,44,31,4.19,0.0,8.0,-5.0,3.77,9.16,7.56,74.36,134.53,0.65,8.81,-5.17,10
695,car,15.3,21,8,3.22,-0.27,3.0,-2.0,1.06,33.6,20.71,22.21,166.78,-24.0,-15.19,-34.41,44
701,car,28.26,46,5,11.51,0.28,8.0,-11.0,3.37,24.89,5.82,52.4,175.65,-9.79,8.25,-38.3,81
705,car,67.08,100,47,16.42,-0.26,6.0,-12.0,3.22,38.2,20.72,23.32,95.93,28.32,59.38,8.92,62
706,car,54.0,68,13,19.21,0.96,13.0,-3.0,3.74,27.45,20.89,23.1,93.54,15.53,30.08,-22.43,23
707,car,10.25,19,5,3.66,0.12,5.0,-6.0,2.78,20.03,17.61,40.53,125.01,-27.43,-17.83,-38.22,32
713,car,86.54,109,68,12.64,-0.22,4.0,-3.0,1.57,202.34,89.83,8.74,42.85,47.55,68.24,26.14,63
718,car,40.7,53,28,7.05,0.33,4.0,-3.0,1.42,29.2,18.76,29.96,139.33,2.31,15.25,-10.96,60
722,car,15.69,25,5,5.95,-0.02,5.0,-4.0,1.99,24.0,19.36,43.94,141.44,-21.84,-8.09,-35.62,42
723,truck,27.74,53,8,13.08,1.84,10.0,-3.0,3.24,26.36,10.28,61.99,151.47,-9.98,13.0,-25.83,19
724,car,24.91,30,15,3.72,0.2,4.0,-3.0,1.39,33.5,27.99,41.57,107.64,-13.5,-10.0,-20.46,46
725,car,81.6,128,61,24.59,-1.13,1.0,-4.0,1.17,302.58,242.15,4.52,14.8,41.9,88.65,20.14,30
